,coal,oil_based,natural_gas,renewable
2003,3769,2514,2763,2765
2004,3769,2514,2763,3115
2005,3769,2404,2763,3192
2006,3769,2333,2763,3226
2007,3783,2363,2834,3194
2008,3783,2100,2831,3199
2009,3849,1984,2831,3199
2010,3849,1984,2861,3287
2011,3879,1757,2861,3242
2012,4531,1778,2861,3358
2013,4531,2020,2861,3378
2014,4671,2033,2861,3649
2015,4812,2133,2861,3863
2016,5294,2133,3430,4120
2017,5625,2518,3446,4156
2018,6264,2612,3452,4222
2019,6929,2585,3452,4320
2020,7280,2642,3452,4466
2021,8005,2379,3452,4721
